title;finished
The Island of Dr. Moreau;December 21, 2011
Thera Awakening;July 09, 2011
Reading Lost - Perspectives on a Hit Television Show;June 20, 2011
Pebble in the Sky (Galactic Empire #3);June 16, 2011
Containment (Children of Occam #1);June 06, 2011
How to Live on 24 Hours a Day;June 06, 2011
Slaughterhouse-Five;May 10, 2011
The End of Eternity;April 14, 2011
Story of the Eye;December 26, 2010
God Bless You, Dr. Kevorkian;August 25, 2010
The Sirens of Titan;August 23, 2010
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1);July 09, 2010
Twilight (Twilight, #1);May 13, 2010
Foundation's Edge (Foundation #4);September 23, 2009
The Last Theorem;September 20, 2009
Inferno (Isaac Asimov's Caliban, #2);September 04, 2009
Prelude to Foundation;August 25, 2009
Northern Lights (His Dark Materials, #1);August 16, 2009
Foundation and Earth (Foundation #5);August 09, 2009
Second Foundation (Foundation #3);July 22, 2009
Robots and Empire (Robot, #4);July 15, 2009
The Robots of Dawn (Robot, #3);July 08, 2009
Firstborn (A Time Odyssey, #3);May 22, 2009
Sunstorm (A Time Odyssey, #2);May 06, 2009
Rendezvous with Rama (Rama, #1);April 26, 2009
Time's Eye (A Time Odyssey, #1);April 24, 2009
Foundation and Empire (Foundation #2);April 18, 2009
The Naked Sun (Robot, #2);April 14, 2009
The Caves of Steel (Robot #1);April 01, 2009
I, Robot (Robot, #0.1);March 26, 2009
Foundation (Foundation, #1);March 16, 2009
The Silmarillion;December 16, 2008
Star Wars - Tales From the Mos Eisley Cantina;November 18, 2008
Harry Potter and the Deathly Hallows (Harry Potter, #7);January 01, 2007
The Last Question;January 01, 2007
Angels & Demons (Robert Langdon, #1);January 01, 2006
Harry Potter and the Order of the Phoenix (Harry Potter, #5);January 01, 2004
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3);January 01, 2004
The Great Gatsby;January 01, 2004
Adam and Eve and Pinch Me;January 01, 2003
Harry Potter and the Sorcerer's Stone (Harry Potter, #1);January 01, 2003
The Time Traveler's Wife;January 01, 2003
Harry Potter and the Goblet of Fire (Harry Potter, #4);January 01, 2002
The Death and Life of Superman;January 01, 2002
The Hobbit, or There and Back Again;January 01, 2002
Harry Potter and the Chamber of Secrets (Harry Potter, #2);January 01, 1999
Lord of the Flies;January 01, 1999
Drawing on the Right Side of the Brain - A Course in Enhancing Creativity and Artistic Confidence;-
Harry Potter and the Half-Blood Prince (Harry Potter, #6);-
How to Be an Antiracist;-
Meditations;-
Reasons and Persons;-
Tales of Ten Worlds;-
The Book on the Taboo Against Knowing Who You Are;-
The Night Masquerade (Binti, #3);-
The Paper Menagerie and Other Stories;-
The Shepherd's Tale (Serenity, #3);-
Thing Explainer - Complicated Stuff in Simple Words;-
Walden & Civil Disobedience;-
Ways of Seeing;-
Yesterday's Man - The Case Against Joe Biden;-
You're Never Weird on the Internet (Almost);-
